feature,shap_importance
direction,3.6152797590026915
amount,1.466901028241164
amount_log,0.6908319752006131
amount_to_avg_ratio,0.5611616329783506
user_tx_count,0.3373863857787685
day_of_week,0.2503928994599366
user_hist_fraud,0.2324982066640422
last_os_categorical,0.20176558340359765
ewm_login_interval_7d,0.1762633556830223
user_std_amt,0.17266209576553324
time_since_last_login,0.1602272122010724
burstiness_login_interval,0.1514231689956788
device_change_rate,0.14198527114052698
last_phone_model_categorical,0.13247974209676683
monthly_phone_model_changes,0.12009231544019673
user_avg_amt,0.1137901987240205
var_login_interval_30d,0.10818973718039199
monthly_os_changes,0.10701527458906739
logins_last_30_days,0.10548470779234288
hour,0.10343237522577735
freq_change_7d_vs_mean,0.09451217272905432
avg_login_interval_30d,0.06363289465565565
fano_factor_login_interval,0.054611216911657205
login_frequency_7d,0.05146382351579615
login_velocity,0.05118384840330856
zscore_avg_login_interval_7d,0.04884459419697572
std_login_interval_30d,0.047619451357274495
logins_last_7_days,0.03860767642822447
login_frequency_30d,0.02722174640614407
is_device_hopper,0.022774587738961106
logins_7d_over_30d_ratio,0.014634357201865757
is_high_risk_combo,0.011975542412209774
is_fast_bot,0.0
is_night,0.0
